time_s,time_min,falla_prop_inyectada,falla_remi_inyectada,BIS,BIS_ref,BIS_desde_Ce_real,BIS_desde_Ce_bis,BIS_mas,BIS_menos,age_patient,error,Ce_remi_pred,Ce_remi_corr,Ce_remi_prom,Ce_prop,Ce_remi,Ce_bis,Ce_prop_obs,Ce_remi_obs,Ce_bis_menos,Ce_bis_mas,Ce_bis_inv,Ce_prop_menos,Ce_prop_mas,Ce_remi_menos,Ce_remi_mas,r_prop_sup,r_prop_inf,r_remi_sup,r_remi_inf,fallo_prop,fallo_remi,u_prop_app,u_remi_app,u_prop_cmd,u_remi_cmd
0,0.0,False,False,93.0,50.0,98.8,93.0,93.0,93.0,74.0,43.0,0.0,0.0,0.06,0.0,0.0,0.0,7.36690708436072e-12,0.0,7.092121450114065e-12,7.092121450114065e-12,7.321432349272073e-12,7.092121450114065e-12,7.092121450114065e-12,0.0,0.0,-2.747856342466548e-13,-2.747856342466548e-13,0.0,-0.0,False,False,0.0,0.0,6.043972499999999,6.043972499999999
5,0.08333333333333333,False,False,92.99515169190265,50.0,98.79132798982106,92.97915815555265,92.94624876712084,92.94624876712084,74.0,42.99515169190265,0.14742010188281207,0.14889430290164019,0.0,0.01927387911056376,0.06882320395418404,0.0,7.36690708436072e-12,0.14889430290164019,0.009202269943605483,0.009202269943605483,7.321432349272073e-12,0.009202269943605483,0.009202269943605483,0.1521201284117429,0.1521201284117429,0.009202269936238575,0.009202269936238575,0.0032258255101027256,0.0032258255101027256,False,False,6.043972499999999,6.043972499999999,0.3697635339346066,0.3697635339346066
10,0.16666666666666666,False,False,92.96042603306536,50.0,98.69960917128947,92.92525041197892,92.81206157906742,92.81206157906742,74.0,42.96042603306536,0.2898461698169258,0.29274463151509506,0.1521201284117429,0.05791141935795871,0.2034916716289493,0.0005268644426936545,7.36690708436072e-12,0.29274463151509506,0.017324160511368415,0.017324160511368415,0.0005263309992642462,0.017324160511368415,0.017324160511368415,0.300184498375929,0.300184498375929,0.01732416050400151,0.01732416050400151,0.007439866860833921,0.007439866860833921,False,False,0.3697635339346066,0.3697635339346066,0.3679947800337191,0.3679947800337191
15,0.25,False,False,92.80429939640435,50.0,98.48525556590708,92.800811099686,92.65475977481938,92.65475977481938,74.0,42.804299396404346,0.42756899327313524,0.4318446832058666,0.300184498375929,0.09722605868860033,0.33574630787773085,0.01466563384734565,0.005712255367598118,0.4318446832058666,0.022055247574644193,0.022055247574644193,0.01465078506066675,0.022055247574644193,0.022055247574644193,0.43211135911374166,0.43211135911374166,0.016342992207046075,0.016342992207046075,0.0002666759078750469,0.0002666759078750469,False,False,0.3679947800337191,0.3679947800337191,0.353104021764662,0.353104021764662
20,0.3333333333333333,False,False,92.443836298558,50.0,98.1330360972189,92.43498436246917,92.25814725987628,92.25814725987628,74.0,42.443836298558,0.5605364274697698,0.5661417917444675,0.43211135911374166,0.1371257040544355,0.4654426548565882,0.03856197755084152,0.028172193758200594,0.5661417917444675,0.042988294185586105,0.042988294185586105,0.03852293398435905,0.042988294185586105,0.042988294185586105,0.5593846826466473,0.5593846826466473,0.014816100427385511,0.014816100427385511,-0.006757109097820235,-0.006757109097820235,False,False,0.353104021764662,0.353104021764662,0.3255081931436709,0.3255081931436709
25,0.4166666666666667,False,False,91.85875295547679,50.0,97.63620811858434,91.8415571784089,91.6630121973658,91.6630121973658,74.0,41.85875295547679,0.6883958828821927,0.6952798417110146,0.5593846826466473,0.17744025291679838,0.5921603290936358,0.06827562805098439,0.05625943971817833,0.6952798417110146,0.0693280212429927,0.0693280212429927,0.06820649975065862,0.0693280212429927,0.0693280212429927,0.6817311202258874,0.6817311202258874,0.013068581524814368,0.013068581524814368,-0.013548721485127202,-0.013548721485127202,False,False,0.3255081931436709,0.3255081931436709,0.29329199065141903,0.29329199065141903
30,0.5,False,False,91.06159140763108,50.0,96.99546906644565,91.0333190532585,90.88057240912813,90.88057240912813,74.0,41.061591407631084,0.8107201297724445,0.8188273310701689,0.6817311202258874,0.21795205058303904,0.7153216417155991,0.10140656290144234,0.08804159011970114,0.8188273310701689,0.09919052533286009,0.09919052533286009,0.10130388990205574,0.09919052533286009,0.09919052533286009,0.798709767215263,0.798709767215263,0.011148935213158948,0.011148935213158948,-0.02011756385490593,-0.02011756385490593,False,False,0.29329199065141903,0.29329199065141903,0.260882835971756,0.260882835971756
35,0.5833333333333334,False,False,90.07555281090895,50.0,96.21805403898439,90.03392984089403,89.93084416141929,89.93084416141929,74.0,40.075552810908945,0.9271227202139036,0.9363939474160426,0.798709767215263,0.25843751785265556,0.8343445937916133,0.13663233756948873,0.1223921593987143,0.9363939474160426,0.131488870492223,0.131488870492223,0.13649399887221988,0.131488870492223,0.131488870492223,0.9099434996627338,0.9099434996627338,0.009096711093508694,0.009096711093508694,-0.026450447753308848,-0.026450447753308848,False,False,0.260882835971756,0.260882835971756,0.2298740817345557,0.2298740817345557
40,0.6666666666666666,False,False,88.92796739219969,50.0,95.31652959851992,88.87125893314517,88.83771497466458,88.83771497466458,74.0,38.92796739219969,1.0372933834268432,1.0476663172611116,0.9099434996627338,0.29868646785232283,0.9487111057450507,0.17318504191269718,0.15859226577003938,1.0476663172611116,0.16553741939430394,0.16553741939430394,0.17300969402281227,0.16553741939430394,0.16553741939430394,1.0151401733861283,1.0151401733861283,0.006945153624264566,0.006945153624264566,-0.032526143874983315,-0.032526143874983315,False,False,0.2298740817345557,0.2298740817345557,0.20103378329827917,0.20103378329827917
45,0.75,False,False,87.64811408719702,50.0,94.30742531382612,87.57514037913799,87.62692919269848,87.62692919269848,74.0,37.648114087197015,1.1410098876229215,1.1524199864991507,1.0151401733861283,0.3385090515644231,1.057989016249537,0.21056526646153267,0.1961292510023668,1.1524199864991507,0.20085182321288764,0.20085182321288764,0.21035207151639954,0.20085182321288764,0.20085182321288764,1.1140961340580324,1.1140961340580324,0.004722572210520831,0.004722572210520831,-0.038323852441118245,-0.038323852441118245,False,False,0.20103378329827917,0.20103378329827917,0.17486043577503882,0.17486043577503882
